id,CVE,CVSS
791,CVE-2017-18509,7.8
792,CVE-2017-18551,6.7
793,CVE-2017-18552,7.8
794,CVE-2017-20033,6.1
795,CVE-2017-3808,7.5
796,CVE-2017-3850,5.9
797,CVE-2017-3881,9.8
798,CVE-2017-5176,7.0
799,CVE-2017-5218,8.8
800,CVE-2017-5344,9.8
801,CVE-2017-5544,5.9
802,CVE-2017-5556,8.1
803,CVE-2017-5589,5.9
804,CVE-2017-5606,5.9
805,CVE-2017-5675,8.8
806,CVE-2017-5851,5.5
807,CVE-2017-5887,7.5
808,CVE-2017-6021,7.5
809,CVE-2017-6295,8.4
810,CVE-2017-6306,7.8
811,CVE-2017-6320,8.8
812,CVE-2017-6394,6.1
813,CVE-2017-6465,9.8
814,CVE-2017-6780,7.5
815,CVE-2017-6883,4.7
816,CVE-2017-7240,7.5
817,CVE-2017-7264,7.8
818,CVE-2017-7305,4.6
819,CVE-2017-7306,6.4
820,CVE-2017-7574,9.8
821,CVE-2017-7614,9.8
822,CVE-2017-7725,6.1
823,CVE-2017-7981,8.8
824,CVE-2017-8176,7.5
825,CVE-2017-8338,7.5
826,CVE-2017-8676,3.3
827,CVE-2017-8695,5.3
828,CVE-2017-8696,7.5
829,CVE-2017-8899,8.1
830,CVE-2017-9041,5.5
831,CVE-2017-9135,8.8
832,CVE-2017-9463,6.5
833,CVE-2017-9476,6.5
834,CVE-2017-9491,5.3
835,CVE-2017-9492,7.5
836,CVE-2017-9521,9.8
837,CVE-2017-9828,9.8
838,CVE-2017-9829,7.5
839,CVE-2017-9852,9.8
840,CVE-2017-9855,9.8
841,CVE-2018-0116,7.2
842,CVE-2018-0164,8.6
843,CVE-2018-0165,7.4
844,CVE-2018-0270,8.8
845,CVE-2018-0468,7.8
846,CVE-2018-10001,6.5
847,CVE-2018-10006,N/A
848,CVE-2018-10008,N/A
849,CVE-2018-10103,9.8
850,CVE-2018-10105,9.8
851,CVE-2018-10527,5.4
852,CVE-2018-10682,9.8
853,CVE-2018-10799,6.5
854,CVE-2018-10990,8.0
855,CVE-2018-11236,9.8
856,CVE-2018-1136,4.3
857,CVE-2018-11518,8.1
858,CVE-2018-11555,7.8
859,CVE-2018-11556,7.8
860,CVE-2018-11567,3.3
861,CVE-2018-1199,5.3
862,CVE-2018-12025,7.5
863,CVE-2018-13114,9.8
864,CVE-2018-13313,6.5
865,CVE-2018-1336,7.5
866,CVE-2018-13420,7.5
867,CVE-2018-14421,8.8
868,CVE-2018-14468,7.5
869,CVE-2018-14608,7.5
